OG,Description,Prevalence_Gut,Prevalence_Vaginal,Mean_per_1000_genes_Gut,Mean_per_1000_genes_Vaginal,log2FC_Vaginal_vs_Gut,Rank_biserial_Vaginal_vs_Gut,P_value,Q_value_BH,Significant_q<0.05,Higher_in
COG4643,DNA integration,0.14354974704890291,0.02162849872773538,0.09135391693857482,0.010834877849415886,-2.9641283347148666,-0.12343621942166672,6.489375101320659e-22,6.908843902070807e-21,True,Gut
2CJ0P,"Psort location CytoplasmicMembrane, score",0.13532883642495702,0.016539440203562347,0.08294647618172772,0.008123120242896673,-3.201870529398812,-0.11993936897390678,7.119714432912856e-22,7.569221827194219e-21,True,Gut
COG3588,Belongs to the class I fructose-bisphosphate aldolase family,0.049747048903878835,0.1374045801526717,0.03070934473669477,0.10568919751923295,1.7504341379479973,0.08945543641036857,7.262670049795607e-22,7.71031275949387e-21,True,Vaginal
2B28Q,,0.10940134907251227,0.001272264631043257,0.06981813889870504,0.0007757711164897909,-5.317601383920421,-0.10811406614059704,7.839926840014389e-22,8.311426665463141e-21,True,Gut
COG4853,protein conserved in bacteria,0.056703204047217896,0.14631043256997459,0.027180882779739166,0.10604102336047319,1.925375103387651,0.0940749048483367,7.938079161734992e-22,8.403645829870504e-21,True,Vaginal
COG2081,HI0933 family,0.753794266441809,0.5190839694656464,0.6556828885094594,0.4915156953994584,-0.41502716191469907,-0.21110581894794656,8.049235173913891e-22,8.509352971074418e-21,True,Gut
COG0475,Sodium/hydrogen exchanger family,0.6418634064080989,0.40966921119592764,0.5104487135624473,0.370463363696237,-0.4613696492409899,-0.2069012310715772,8.28599959703171e-22,8.747365914005284e-21,True,Gut
COG1214,Universal bacterial protein YeaZ,0.7708684654300021,0.8358778625954133,0.45591613809515646,0.6037542411275335,0.40441958296992214,0.21219545031302434,8.47458894984964e-22,8.933925913938129e-21,True,Vaginal
COG0234,Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter,0.8631956155143053,0.8753180661577538,0.5017252791600538,0.6401608974189882,0.35091620661967027,0.21305042072697167,8.545429000000274e-22,8.996006165454835e-21,True,Vaginal
2B1D0,,0.1264755480607076,0.010178117048346057,0.08513565014536106,0.007941138360671302,-3.2680800411443203,-0.11577232684971828,9.020877994840181e-22,9.483260987033805e-21,True,Gut
2DMGT,Suppressor of fused protein (SUFU),0.009064080944350753,0.05470737913486002,0.004512303002065853,0.02838968518504676,2.4145828074186175,0.045687548541293976,9.081102474656134e-22,9.533257786155749e-21,True,Vaginal
COG4186,Ser Thr phosphatase family protein,0.22238617200674302,0.07760814249363861,0.1765918717923247,0.04735560801983838,-1.8768104320221035,-0.14921325558144427,1.0484754213632865e-21,1.0991468658219301e-20,True,Gut
COG3583,G5 domain protein,0.24177908937605128,0.3651399491094142,0.17555514057666444,0.45717635321142086,1.3757841749113435,0.16395961793442582,1.0684055624352755e-21,1.1184824295480275e-20,True,Vaginal
COG5492,"domain, Protein",0.589586846543014,0.4020356234096682,1.1233968709487836,0.6963702602374514,-0.6891545980371505,-0.20367551459135202,1.0918400156793308e-21,1.1414277497247672e-20,True,Gut
COG2819,hydrolase of the alpha beta superfamily,0.34253794266442594,0.16666666666666688,0.2139011820295984,0.10996839376023958,-0.9535245943042123,-0.17569159275517165,1.1054827439546756e-21,1.1540871863726551e-20,True,Gut
2B17D,Protein of unknown function (DUF721),0.1108768971332205,0.002544529262086514,0.06971556890179753,0.0022777206753558698,-4.431263057542215,-0.10828194928963442,1.2856012218626513e-21,1.3402659829584732e-20,True,Gut
COG1271,Cytochrome bd terminal oxidase subunit I,0.2655986509274863,0.4109414758269709,0.15027401487894382,0.26261078305141694,0.80124519564283,0.16927824191479046,1.3895151772830302e-21,1.4465948463913374e-20,True,Vaginal
COG0800,2-dehydro-3-deoxyphosphogluconate aldolase 4-hydroxy-2-oxoglutarate aldolase,0.4679595278246426,0.26844783715012793,0.3030530911934219,0.18465876959603236,-0.7116697944045332,-0.19252683984913044,1.453150888958104e-21,1.5107550747496753e-20,True,Gut
28NT3,YwiC-like protein,0.02508431703204045,0.0916030534351144,0.013083670391565477,0.05462251147131141,1.9816455183501482,0.0670711953280212,1.5037917022450344e-21,1.5612469162480516e-20,True,Vaginal
COG0139,"Psort location Cytoplasmic, score",0.4903035413153703,0.30661577608142515,0.25729133291131867,0.1571176755073764,-0.7080005826253624,-0.19500512767701217,1.519159655899011e-21,1.575029577128355e-20,True,Gut
COG3153,Acetyltransferase (GNAT) domain,0.38048060708264275,0.2061068702290082,0.26008950886233273,0.12501445579123324,-1.0509552457559013,-0.1814087380765419,1.5419423069792585e-21,1.596451134062294e-20,True,Gut
COG5512,Domain of unknown function (DUF5060),0.24451939291736657,0.3867684478371493,0.13874710510690474,0.25758347117819475,0.8878116624785569,0.1644726538195831,1.5860014470381592e-21,1.639812210419811e-20,True,Vaginal
COG0051,Involved in the binding of tRNA to the ribosomes,0.6785413153456988,0.8091603053435052,0.42655056468866565,0.5871698953755756,0.46013789201926697,0.20885173289737358,1.6383735030605783e-21,1.691637497604523e-20,True,Vaginal
COG3209,Leucine rich repeat protein,0.5322512647555014,0.32569974554707376,0.9540874189378077,0.7234255207503333,-0.3987954169317772,-0.19824371698655652,1.744427127747464e-21,1.7986716425418028e-20,True,Gut
COG1494,"Bacterial fructose-1,6-bisphosphatase, glpX-encoded",0.11424957841483933,0.22900763358778703,0.05517393271197561,0.14859803264544846,1.4131184885550454,0.12379799956232374,1.917187160342852e-21,1.9740995562107588e-20,True,Vaginal
COG3944,biosynthesis protein,0.36572512647555844,0.17302798982188322,0.2385727523721643,0.14033928800390413,-0.7613012870522788,-0.17815888504134325,1.971762427053807e-21,2.0275212825729515e-20,True,Gut
COG1409,PFAM Metallophosphoesterase,0.7259696458684574,0.5483460559796409,1.0351388074592045,0.6128943591811116,-0.7551549694860097,-0.2083942110886552,2.0971334528268592e-21,2.1534957025140204e-20,True,Gut
2BYWB,Protein of unknown function (DUF3793),0.4165261382799487,0.19974554707379186,0.2345144931945686,0.13730321084596556,-0.7679811933015714,-0.18511718565623536,2.1311274934160834e-21,2.1854218859595175e-20,True,Gut
COG1070,"Psort location Cytoplasmic, score",0.5801011804384623,0.37913486005088987,0.71879525280402,0.4702372463816057,-0.6111330137799158,-0.20125381357568584,2.336912060577912e-21,2.3899371032567857e-20,True,Gut
29851,,0.12310286677908876,0.010178117048346057,0.16949214918333597,0.01137950636277841,-3.7836796147733702,-0.11323289308257067,2.3352214670378234e-21,2.3899371032567857e-20,True,Gut
COG0025,"Psort location CytoplasmicMembrane, score 10.00",0.2603288364249562,0.39185750636132227,0.15046490800719534,0.3038411950026574,1.0090742928792042,0.16680075863874122,2.3825357330051297e-21,2.433289886340517e-20,True,Vaginal
2B1F2,,0.10919055649241109,0.002544529262086514,0.09953811584207588,0.001501949558866079,-5.328546043003103,-0.10681122853992076,2.3937783286774963e-21,2.4414592791267634e-20,True,Gut
COG1612,Catalyzes the oxidation of the C8 methyl side group on heme O porphyrin ring into a formyl group,0.03456998313659361,0.10814249363867671,0.011602564660912277,0.058466370718083756,2.238356673017576,0.07577751889087692,2.4253300760621923e-21,2.4702922168498135e-20,True,Vaginal
2E5UB,"Psort location Cytoplasmic, score",0.15155986509274763,0.02671755725190841,0.09503370755020145,0.01892725120323656,-2.2687981602094456,-0.12462078790297315,2.7568855419882526e-21,2.804199658722375e-20,True,Gut
2DRTS,,0.008431703204047212,0.05216284987277351,0.005172235141366777,0.03546641290427537,2.5627033630192697,0.04380596998914399,2.8748563274900576e-21,2.9202487958188476e-20,True,Vaginal
COG4529,FAD-NAD(P)-binding,0.03625632377740308,0.11195928753180648,0.015621212142375406,0.06904646414170146,2.0752866290503467,0.07718843462104541,2.949598789467557e-21,2.9921334350838686e-20,True,Vaginal
29ZPV,Domain of unknown function (DUF2017),0.00758853288364249,0.049618320610687,0.0046599184067510685,0.031174385521381964,2.5070594351096362,0.042040246900866274,3.840874102946972e-21,3.891017412231744e-20,True,Vaginal
2B2GS,,0.10602866779089344,0.001272264631043257,0.06648247191476908,0.0007757711164897909,-5.247995274924485,-0.10473494844431863,3.935545432217495e-21,3.981565923158748e-20,True,Gut
2E823,"Psort location CytoplasmicMembrane, score 9.75",0.1572512647554794,0.030534351145038184,0.07738052889697894,0.01645153759057778,-2.1671411554350133,-0.12623713253435975,4.009939501521317e-21,4.05138451381892e-20,True,Gut
COG3481,Metal dependent phosphohydrolases with conserved 'HD' motif.,0.4536256323777607,0.25063613231552256,0.27455595579621284,0.16334289361879514,-0.7456362356243036,-0.1884225527678729,4.632914761911117e-21,4.668266320335338e-20,True,Gut
COG0785,Cytochrome C biogenesis protein transmembrane region,0.11973018549746993,0.2340966921119601,0.07498804727862615,0.20274801859266603,1.4229416201481344,0.12476641178464609,4.626832891075516e-21,4.668266320335338e-20,True,Vaginal
